Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 5772,30.10.2023,Adana,Ayyüce TÜRKEŞ TAŞ,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Taşeron işçilere kadro verilmesi talebine ilişkin
7 / 25900,10.03.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Türkiye Varlık Fonunun kamu bankalarına yaptığı sermaye aktarımlarına ilişkin
7 / 22251,10.01.2025,Van,Gülcan KAÇMAZ SAYYİĞİT,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,28 Aralık 2024 tarihinde Van'da meydana gelen bir olaya ilişkin
7 / 36243,06.11.2025,Diyarbakır,Sevilay ÇELENK ÖZEN,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Cezaevlerinde bulunan üniversite öğrencilerine ilişkin
7 / 30561,10.07.2025,Bursa,Hasan ÖZTÜRK,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Staj ve çıraklık başlangıcının sigortalılık ve emeklilik süresinden sayılması talebine ilişkin
7 / 12250,23.05.2024,Osmaniye,Asu KAYA,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,2024 Yılı Yatırım Programı'nda Osmaniye için ayrılan bütçeye ilişkin
7 / 11009,27.03.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Milli Savunma Bakanlığı,Cevaplandı,Vicdani ret beyanında bulunan bir kişiye ilişkin
7 / 29157,30.05.2025,İstanbul,Celal FIRAT,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,Diyanet İşleri Başkanlığının teşkilat yapısında değişiklikler öngören bir kanun teklifine ilişkin
7 / 7736,27.12.2023,İzmir,Burcugül ÇUBUK,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Menemen T Tipi Kapalı Cezaevinde bulunan bazı mahkumlara uygulanan disiplin cezalarına ilişkin
7 / 26155,26.03.2025,Mardin,Beritan GÜNEŞ ALTIN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Hapishanelerde acil durum yönetim planı ve afet risk analizi yapılıp yapılmadığına ilişkin
7 / 18863,01.11.2024,Diyarbakır,Serhat EREN,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Doğal gaz tüketim ücretlerine zam yapılacağı iddiasına ilişkin
7 / 15040,08.08.2024,Hatay,Lütfi KAŞIKÇI,Sağlık Bakanlığı,Cevaplandı,Hatay Dörtyol Devlet Hastanesi Onkoloji Merkezine hekim görevlendirilmesi talebine ilişkin
7 / 9442,09.02.2024,İstanbul,Turan Taşkın ÖZER,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli Kahramanmaraş merkezli depremlerde yıkılan binalarla ilgili hakkında soruşturma açılan kamu görevlilerine ilişkin
7 / 33588,04.09.2025,Niğde,Ömer Fethi GÜRER,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Ülke genelinde ve Niğde özelinde bulunan hava tahmin istasyonlarına ilişkin
7 / 28728,27.05.2025,Van,Gülderen VARLİ,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Van ilinde kadına karşı şiddetle mücadele kapsamında yapılan çalışmalara ilişkin
7 / 6931,01.12.2023,Osmaniye,Asu KAYA,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,6 Şubat 2023 tarihli depremler sonrasında Osmaniye'deki iletişim ve haberleşme altyapısı çalışmalarına ilişkin
7 / 29413,13.06.2025,Şırnak,Nevroz UYSAL ASLAN,Milli Eğitim Bakanlığı,Cevaplandı,Çocuk işçiliğinin önlenmesi için yapılan çalışmalara ilişkin
